"","Study","Fert","Inhibitor","mean.comp","sd.comp","n.comp"
"1","Argoti 13","urea","none",6.04,1.79699471340346,40
"2","Argoti 13","urea","PCF",3.92066666666667,1.74179983541929,12
"3","Awale 13","urea","none",7.33,0.25,4
"4","Awale 13","urea","nitrapyrin",7.16,0.3,4
"5","Ebelhar 07","urea","none",10.5666666666667,1.1247221879202,156
"6","Ebelhar 07","urea","NBPT",10.846,0.908475371157634,160
"7","Ebelhar 07","urea","PCF",10.67775,0.987258831310209,160
"8","Ebelhar 07","urea","NBPT+DCD",10.86225,0.975508841579614,160
"9","Fernandez 14","urea","PCF",9.30333333333333,0.938189746266713,12
"10","Fernandez 14","urea","none",9.03666666666667,0.662042294721417,12
"11","Halvorson 10 jeq","urea","none",12.7455,1.38338805112665,6
"12","Halvorson 10 jeq","urea","PCF",12.30475,1.19979404482603,12
"13","Halvorson 10 jeq","urea","NBPT+DCD",11.9095,1.64043439368967,6
"14","Halvorson 10 sssaj","urea","none",10.365,0.690540850831192,18
"15","Halvorson 10 sssaj","urea","PCF",11.18,0.34746042940168,12
"16","Halvorson 10 sssaj","urea","NBPT+DCD",9.645,0.55919406291555,6
"17","Halvorson 11","urea","none",14.275,0.62155048065302,6
"18","Halvorson 11","urea","PCF",14.635,0.968929951028453,12
"19","Halvorson 11","urea","NBPT+DCD",14.97,1.10196052560879,6
"20","Halvorson 12","urea","none",14.48,0.587500212765919,6
"21","Halvorson 12","urea","PCF",14.2575,1.6151749905196,12
"22","Halvorson 12","urea","NBPT+DCD",14.315,1.49810763965744,6
"23","Halvorson 13","urea","none",14.4513333333333,2.03399082266038,18
"24","Halvorson 13","urea","PCF",13.9726666666667,2.3923790808872,18
"25","Halvorson 13","urea","NBPT+DCD",14.7321666666667,1.52156711978144,18
"26","Halvorson 14","urea","PCF",12.5452666666667,0.813994553626333,60
"27","Halvorson 14","urea","none",11.9728,1.19831832164914,100
"28","Halvorson 14","urea","NBPT+DCD",12.0491,1.47605524964345,40
"29","Hatfield/Parkin 14","urea","PCF",8.07166666666667,0.971543531363023,30
"30","Hatfield/Parkin 14","urea","NBPT+DCD",8.11525,2.47998061988395,40
"31","Randall 03","urea","none",11.85,2.00334095949741,16
"32","Randall 03","urea","PCF",11.8614285714286,1.79922602407654,28
"33","Randall 04","urea","none",9.825,0.777110030819317,16
"34","Randall 04","urea","PCF",10.04125,0.847164387825645,32
"35","Randall 05","urea","none",9.37,0.627275856382182,16
"36","Randall 05","urea","PCF",9.65857142857143,0.693634321114931,28
"37","Randall 06 fsp","urea","PCF",13.5833333333333,1.22117429823374,12
"38","Randall 06 fsp","urea","none",13.8933333333333,1.12513702869176,12
"39","Randall 07 fsp","urea","PCF",10.79,0.589180221437663,12
"40","Randall 07 fsp","urea","none",11.0466666666667,0.552268050859363,12
"41","Randall 08 fsp","urea","PCF",12.35,0.556117493580868,12
"42","Randall 08 fsp","urea","none",12.7666666666667,0.759890342966229,12
"43","Randall 09 fsp","urea","PCF",14.3433333333333,0.828210923215417,12
"44","Randall 09 fsp","urea","none",14.2733333333333,0.746033958118976,12
"45","Randall 09 fsp","urea","S.R",14.46,0.49623583103198,8
"46","Randall 10 fsp","urea","PCF",12.8166666666667,0.388200978875633,12
"47","Randall 10 fsp","urea","none",12.7733333333333,0.655870922260369,12
"48","Randall 10 fsp","urea","S.R",12.575,0.691809222257119,8
"49","Randall 11 fsp","urea","none",11.79,0.442718872423573,8
"50","Randall 11 fsp","urea","nitrapyrin",11.725,0.475184174820669,8
"51","Randall 11 fsp","urea","S.R",11.915,0.715681493403316,8
"52","Randall 12 Esp","urea","none",12.415,0.483838816136118,8
"53","Randall 12 Esp","urea","nitrapyrin",12.51,0.330605505096331,8
"54","Randall 12 fsp","urea","none",10.53,2.22783527218688,8
"55","Randall 12 fsp","urea","nitrapyrin",10.65,2.65198039208438,8
"56","Randall 12 fsp","urea","S.R",10.57,1.29917281375497,8
"57","Venterea 11","urea","none",13.075,1.91302117081856,24
"58","Venterea 11","urea","PCF",12.425,2.77,24
"59","Venterea 11","urea","NBPT+DCD",13.015,1.91302117081856,24
"60","Vetsch 12","urea","none",12.0340909090909,0.568178909083462,66
"61","Vetsch 12","urea","nitrapyrin",12.0604545454545,0.556192412749401,66
"62","Wiatrak 14","urea","none",13.1883333333333,4.1348599331376,72
"63","Wiatrak 14","urea","S.R",15.1233333333333,5.26279393478407,72
